Sequence,PHYLUM,CLASS,ORDER,FAMILY,GENUS
S001014081,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobidae_incertae_sedis,Ilumatobacter
S000002314,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
S000004268,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
S000130242,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
S000390775,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
S000414609,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
S001100366,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Enterorhabdus
S000013627,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Coriobacterium
S000734935,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Asaccharobacter
S001168715,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Gordonibacter
S000428894,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia
S000428895,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia
S000543965,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia
S000390779,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella
S000540527,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella
S000012597,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Cryptobacterium
S000540524,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Paraeggerthella
S000382127,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
S000382903,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
S000382905,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
S000390777,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
S000390778,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
S000964265,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Adlercreutzia
S000002498,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000086360,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000088682,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000381784,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000394075,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000397967,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000399884,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414115,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414116,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414117,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414118,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414119,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414120,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414121,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414122,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414123,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
